Url;Zestimate;Price;Rent Zestimate;Days On Zillow;Bathrooms;Bedrooms;Living Area;Lot Size;Home Type;Street Address;City;Zip;State;Country;Broker Name;Has 3D Model;Has Image;Has Video;isZillowOwned;sgapt;statusText;statusType,Unnamed: 1
https://www.zillow.com/homedetails/4622-Avenida-La-Mirada-Trl-Joshua-Tree-CA-92252/17498572_zpid/;643025;650000;2437;Not specified;2;3;2046;;SINGLE_FAMILY;4622 Avenida La Mirada Trl;Joshua Tree;92252;CA;USA;Joshua Tree Realty;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/61745-Pueblo-Trl-Joshua-Tree-CA-92252/82921933_zpid/;599901;599900;2469;Not specified;2;4;1961;;SINGLE_FAMILY;61745 Pueblo Trl;Joshua Tree;92252;CA;USA;Redfin Corporation;VERDADERO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/61836-Grand-View-Cir-Joshua-Tree-CA-92252/82896400_zpid/;364770;369000;2469;Not specified;2;3;1350;;SINGLE_FAMILY;61836 Grand View Cir;Joshua Tree;92252;CA;USA;eXp Realty of California Inc;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/6715-Torres-Ave-Joshua-Tree-CA-92252/137799409_zpid/;906511;925000;2643;Not specified;2;3;1540;;SINGLE_FAMILY;6715 Torres Ave;Joshua Tree;92252;CA;USA;Compass;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/61426-Alta-Vista-Dr-Joshua-Tree-CA-92252/17499790_zpid/;430074;439999;2851;Not specified;2;3;1959;;SINGLE_FAMILY;61426 Alta Vista Dr;Joshua Tree;92252;CA;USA;I Heart Real Estate, Inc.;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE
https://www.zillow.com/homedetails/6655-Cascade-Rd-Panorama-Heights-CA-92252/137803400_zpid/;858488;878000;2499;Not specified;2;3;1540;;SINGLE_FAMILY;6655 Cascade Rd;Panorama Heights;92252;CA;USA;Joshua Tree Modern;FALSO;VERDADERO;FALSO;FALSO;New Construction;New construction;FOR_SALE,
https://www.zillow.com/homedetails/60440-Alta-Mesa-Dr-Joshua-Tree-CA-92252/17499559_zpid/;584999;599995;1849;Not specified;2;3;1100;;SINGLE_FAMILY;60440 Alta Mesa Dr;Joshua Tree;92252;CA;USA;Joshua Tree Modern;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/6828-Hill-View-Rd-Joshua-Tree-CA-92252/17500015_zpid/;292172;299999;2329;Not specified;2;3;1215;;SINGLE_FAMILY;6828 Hill View Rd;Joshua Tree;92252;CA;USA;Joshua Tree Realty;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/61516-Valley-View-Dr-Joshua-Tree-CA-92252/17499999_zpid/;432400;435000;1649;Not specified;1;3;896;;SINGLE_FAMILY;61516 Valley View Dr;Joshua Tree;92252;CA;USA;EXP REALTY OF CALIFORNIA INC;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
https://www.zillow.com/homedetails/62250-Campanula-St-Joshua-Tree-CA-92252/137797147_zpid/;493885;495000;3140;Not specified;2;3;1913;;SINGLE_FAMILY;62250 Campanula St;Joshua Tree;92252;CA;USA;Equity Union;FALSO;VERDADERO;FALSO;FALSO;For Sale (Broker);House for sale;FOR_SALE,
